ID,y
1,70.99
2,104.89
3,73.67
4,82.17
5,104.10
8,97.76
10,122.03
11,90.80
12,114.97
14,91.93
15,112.87
16,103.11
17,99.47
19,90.42
20,107.17
21,96.33
22,112.07
23,98.29
26,108.44
28,87.88
29,97.71
33,97.33
35,94.88
41,99.37
42,105.14
43,116.13
45,100.88
46,103.65
51,92.97
53,85.65
55,112.00
56,93.04
57,96.68
58,90.32
59,113.65
63,111.86
64,88.11
65,105.32
69,89.96
71,88.69
72,102.14
73,89.95
76,110.12
77,106.16
78,106.37
82,90.11
83,104.42
84,84.73
85,92.89
87,109.81
88,94.59
89,114.72
91,90.80
93,83.06
94,95.46
95,99.27
96,111.71
97,105.21
98,111.35
99,87.26
101,103.43
103,114.12
104,88.38
105,108.84
110,92.43
111,109.07
113,109.49
114,92.68
115,107.63
117,113.51
120,85.15
121,117.72
122,94.38
123,107.33
126,112.02
132,112.52
135,104.74
137,107.27
138,92.26
140,88.30
142,105.59
144,112.39
148,89.80
149,112.37
155,91.64
156,111.51
157,100.78
162,113.19
163,96.31
167,94.37
172,117.43
179,109.61
180,95.74
181,106.87
182,93.12
183,111.91
185,111.95
187,111.48
188,91.38
189,94.70
191,88.70
192,116.69
193,92.63
194,112.27
195,87.13
196,112.11
198,93.98
199,112.28
201,103.87
204,93.04
205,100.00
206,91.45
210,88.82
211,101.39
216,112.05
219,115.08
220,88.29
221,108.99
226,106.61
227,91.54
228,110.99
230,108.60
231,95.04
235,115.84
236,94.75
238,109.16
242,98.71
243,87.82
244,73.69
245,107.54
247,111.97
248,88.78
249,94.62
250,108.52
251,94.21
253,115.62
254,86.81
256,94.68
257,89.27
258,117.15
259,90.21
262,70.25
266,86.05
267,109.53
272,96.84
273,110.84
275,87.96
276,110.60
279,93.92
280,101.41
283,91.63
285,108.04
288,110.78
289,92.39
290,103.86
291,89.25
292,105.99
293,113.38
296,85.70
297,111.52
298,112.16
299,92.07
304,89.06
305,70.24
306,89.70
307,107.64
311,123.71
313,108.37
314,87.72
316,82.77
324,89.21
327,91.19
329,90.19
330,112.88
337,103.39
338,92.21
339,102.10
340,91.25
343,88.85
345,111.80
346,92.20
347,110.06
349,118.00
350,92.02
352,111.17
353,90.37
354,74.01
357,90.26
358,112.63
362,108.54
364,113.71
365,99.11
366,94.74
367,109.70
368,95.71
370,66.57
373,89.31
377,84.58
378,107.12
382,98.33
384,108.66
390,86.51
392,111.77
393,112.91
395,94.26
396,106.32
399,78.85
406,108.86
408,108.87
409,92.72
410,75.14
412,109.95
413,86.55
419,88.02
420,112.41
421,86.18
430,96.57
434,93.91
436,93.59
437,90.02
438,89.14
439,109.16
440,92.35
443,113.44
446,92.54
448,88.08
452,94.18
453,101.89
457,102.02
458,93.02
459,115.18
460,100.53
462,99.72
464,97.96
465,112.39
467,119.27
471,107.59
472,72.64
473,91.79
475,94.90
480,93.43
488,110.35
490,109.42
491,101.05
492,76.70
493,92.85
497,90.06
498,112.85
499,91.65
500,94.50
501,94.04
502,110.70
506,76.57
510,108.23
511,92.27
512,90.85
516,89.00
518,90.13
519,109.45
521,88.57
522,105.44
526,110.89
529,91.07
532,110.32
533,88.98
536,111.55
537,99.92
539,95.07
540,103.15
541,92.92
543,94.26
546,113.89
547,92.48
548,71.69
551,90.66
552,101.22
556,95.80
557,92.15
558,111.57
559,93.66
560,100.62
562,103.12
566,95.57
570,113.30
571,90.90
572,102.81
573,94.04
575,112.76
576,107.10
577,93.53
579,88.84
580,109.20
581,112.46
589,110.21
591,100.14
593,92.81
594,97.76
595,93.50
598,90.89
602,111.75
604,111.47
606,106.05
608,95.71
609,103.82
610,93.62
616,111.53
617,91.93
618,100.58
620,101.84
622,111.82
623,87.44
624,100.89
626,110.90
628,110.71
629,95.95
630,110.37
637,92.57
638,105.18
643,96.03
645,93.69
646,121.29
648,94.57
652,94.21
653,90.18
654,113.52
656,112.66
657,99.11
659,88.90
660,100.63
663,88.68
664,112.48
666,99.56
668,110.81
669,86.21
671,93.63
675,90.96
677,92.94
678,106.30
679,102.12
682,89.16
685,100.47
687,93.39
688,89.60
693,108.91
696,93.73
698,89.78
701,98.45
704,97.89
705,112.78
709,113.19
710,93.14
711,106.38
712,92.11
714,112.23
715,90.72
716,110.63
717,91.76
720,112.51
721,89.65
724,96.52
725,93.80
726,111.91
728,111.75
731,91.01
734,103.94
738,91.69
745,113.17
746,89.64
751,83.01
754,90.41
756,91.74
758,92.70
759,100.93
761,112.14
766,94.55
767,106.98
768,87.92
769,112.94
770,90.52
771,77.47
772,103.98
773,92.51
774,111.70
776,109.80
777,93.95
780,114.99
782,103.89
787,100.10
788,95.49
792,87.45
793,114.23
798,91.87
800,90.54
806,110.68
809,108.81
811,114.35
812,88.75
814,113.60
816,98.95
817,93.99
818,107.99
820,108.28
823,94.82
829,86.47
830,106.70
831,88.28
834,109.00
839,91.94
841,77.46
844,104.19
845,93.78
848,90.03
850,93.98
851,101.84
852,87.09
854,89.50
855,93.45
856,98.55
859,97.45
861,111.73
864,93.65
865,110.91
866,91.68
867,91.49
869,94.32
871,89.69
872,110.70
882,99.07
883,94.26
885,92.13
888,96.32
893,109.31
901,105.71
903,102.07
904,90.54
905,100.72
910,93.86
911,110.98
914,112.81
918,112.55
921,87.39
928,93.29
929,101.24
932,89.39
933,102.01
934,93.93
935,113.13
937,72.99
939,94.29
940,92.21
941,96.20
942,100.49
943,91.34
944,99.39
947,110.73
949,112.56
951,113.43
952,94.39
953,102.09
954,72.14
957,109.97
959,88.90
960,117.47
963,113.89
965,110.74
967,99.30
971,93.65
972,76.84
973,91.17
974,110.85
975,98.52
978,117.77
980,117.18
981,93.91
984,111.44
986,94.08
988,88.56
989,108.42
990,101.32
992,105.92
996,90.99
999,115.75
